ERR4691988,PAIRED,1348
ERR4691989,PAIRED,1317
ERR4691990,PAIRED,1313
ERR4691991,PAIRED,1304
ERR4691992,PAIRED,430
ERR4691993,PAIRED,425
ERR4691994,PAIRED,420
ERR4691995,PAIRED,419
ERR4691996,PAIRED,251
ERR4691997,PAIRED,246
ERR4691999,PAIRED,243
ERR4692000,PAIRED,46
ERR4692001,PAIRED,45
ERR4692002,PAIRED,43
ERR4692003,PAIRED,44
ERR4692004,PAIRED,538
ERR4692006,PAIRED,520
ERR4692007,PAIRED,521
ERR4692008,PAIRED,598
ERR4692009,PAIRED,586
ERR4692010,PAIRED,576
ERR4692012,PAIRED,430
ERR4692013,PAIRED,423
ERR4692014,PAIRED,416
ERR4692015,PAIRED,419
ERR4692016,PAIRED,423
ERR4692017,PAIRED,413
ERR4692018,PAIRED,406
ERR4692019,PAIRED,410
ERR4692021,PAIRED,518
ERR4692022,PAIRED,513
ERR4692023,PAIRED,513
ERR4692024,PAIRED,464
ERR4692025,PAIRED,449
ERR4692026,PAIRED,437
ERR4692027,PAIRED,448
ERR4692028,PAIRED,638
ERR4692029,PAIRED,627
ERR4692030,PAIRED,620
ERR4692031,PAIRED,619
ERR4692032,PAIRED,536
ERR4692033,PAIRED,528
ERR4692034,PAIRED,521
ERR4692035,PAIRED,521
ERR4692036,PAIRED,308
ERR4692037,PAIRED,302
ERR4692038,PAIRED,295
ERR4692039,PAIRED,299
ERR4692040,PAIRED,658
ERR4692041,PAIRED,645
ERR4692043,PAIRED,639
ERR4692044,PAIRED,757
ERR4692045,PAIRED,745
ERR4692046,PAIRED,737
ERR4692047,PAIRED,737
ERR4692048,PAIRED,265
ERR4692049,PAIRED,260
ERR4692050,PAIRED,253
ERR4692051,PAIRED,258
ERR4692052,PAIRED,357
ERR4692053,PAIRED,350
ERR4692054,PAIRED,343
ERR4692055,PAIRED,345
ERR4692056,PAIRED,338
ERR4692057,PAIRED,329
ERR4692058,PAIRED,323
ERR4692059,PAIRED,328
