SRR8837390,PAIRED,77
SRR8334890,SINGLE,10
SRR8792707,PAIRED,4979
DRR184141,PAIRED,1713
SRR13825340,PAIRED,3234
SRR12730590,PAIRED,4622
SRR12727884,PAIRED,1843
SRR10016713,PAIRED,1312
SRR9124026,PAIRED,10
SRR12543071,PAIRED,5802
SRR12816298,PAIRED,2160
SRR12105400,PAIRED,369
SRR4409183,PAIRED,978
SRR13755942,SINGLE,399
SRR12246146,PAIRED,12
SRR12334946,PAIRED,80
SRR12183122,PAIRED,294
SRR10824609,PAIRED,750
SRR12081660,PAIRED,666
SRR9295840,PAIRED,29
SRR12055073,PAIRED,7
SRR8670222,SINGLE,242
ERR3020179,SINGLE,1651
SRR10336678,PAIRED,10
SRR13358822,PAIRED,23
SRR13624815,PAIRED,5330
SRR10902466,PAIRED,14
SRR11640400,PAIRED,328
ERR3190533,PAIRED,29
ERR4704268,PAIRED,150
SRR11968894,PAIRED,225
SRR12118739,PAIRED,3589
SRR8663087,PAIRED,20
SRR12204525,PAIRED,65
SRR11178183,PAIRED,3351
ERR3327968,SINGLE,1164
SRR9637838,PAIRED,1872
SRR10999796,PAIRED,5247
SRR10448861,PAIRED,260
SRR9006570,PAIRED,3052
SRR12149784,PAIRED,4487
SRR10229829,PAIRED,789
